id,name,short_name,region_code
51490,Московская область,Московская,50
71950,Рязанская область,Рязанская,62
72169,Липецкая область,Липецкая,48
72180,Тамбовская область,Тамбовская,68
72181,Воронежская область,Воронежская,36
72182,Пензенская область,Пензенская,58
72192,Ульяновская область,Ульяновская,73
72193,Саратовская область,Саратовская,64
72194,Самарская область,Самарская,63
72195,Нижегородская область,Нижегородская,52
72196,Республика Мордовия,Республика Мордовия,13
72197,Владимирская область,Владимирская,33
72223,Курская область,Курская,46
72224,Орловская область,Орловская,57
77665,Волгоградская область,Волгоградская,34
77669,Оренбургская область,Оренбургская,56
77677,Башкортостан,Башкортостан,2
77687,Челябинская область,Челябинская,74
79374,Татарстан,Татарстан,16
79379,Свердловская область,Свердловская,66
80513,Чувашия,Чувашия,21
81993,Тульская область,Тульская,71
81994,Ярославская область,Ярославская,76
81995,Калужская область,Калужская,40
81996,Смоленская область,Смоленская,67
81997,Брянская область,Брянская,32
83184,Белгородская область,Белгородская,31
85606,Ростовская область,Ростовская,61
85617,Ивановская область,Ивановская,37
85963,Костромская область,Костромская,44
89331,Новгородская область,Новгородская,53
102269,Москва,Москва,77
103906,Калининградская область,Калининградская,39
108081,Ставропольский край,Ставропольский край,26
108082,Краснодарский край,Краснодарский край,23
108083,Республика Калмыкия,Республика Калмыкия,8
109876,Республика Дагестан,Республика Дагестан,5
109877,Чеченская республика,Чеченская республика,20
109878,Карачаево-Черкесская республика,Карачаево-Черкесская республика,9
109879,Кабардино-Балкарская республика,Кабардино-Балкарская республика,7
110032,Северная Осетия - Алания,Северная Осетия - Алания,15
112819,Астраханская область,Астраханская,30
115100,Кировская область,Кировская,43
115106,Вологодская область,Вологодская,35
115114,Марий Эл,Марий Эл,12
115134,Удмуртская республика,Удмуртская республика,18
115135,Пермский край,Пермский край,59
115136,Республика Коми,Республика Коми,11
140290,Курганская область,Курганская,45
140291,Тюменская область,Тюменская,72
140292,Омская область,Омская,55
140294,Новосибирская область,Новосибирская,54
140295,Томская область,Томская,70
140296,Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский автономный округ - Югра,86
140337,Архангельская область,Архангельская,29
144763,Кемеровская область,Кемеровская,42
144764,Алтайский край,Алтайский край,22
145194,Республика Алтай,Республика Алтай,4
145195,Тыва,Тыва,17
145454,Иркутская область,Иркутская,38
145729,Бурятия,Бурятия,3
145730,Забайкальский край,Забайкальский край,75
147166,Амурская область,Амурская,28
147167,Еврейская автономная область,Еврейская автономная,79
151223,Хабаровский край,Хабаровский край,27
151225,Приморский край,Приморский край,25
151228,Магаданская область,Магаданская,49
151231,Чукотский автономный округ,Чукотский автономный округ,87
151233,Камчатский край,Камчатский край,41
151234,Республика Саха (Якутия),Республика Саха (Якутия),14
155262,Псковская область,Псковская,60
176095,Ленинградская область,Ленинградская,47
190090,Красноярский край,Красноярский край,24
190911,Республика Хакасия,Республика Хакасия,19
191706,Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ,89
253252,Ингушетия,Ингушетия,6
253256,Адыгея,Адыгея,1
274048,Ненецкий автономный округ,Ненецкий,83
337422,Санкт-Петербург,Санкт-Петербург,78
393980,Республика Карелия,Карелия,10
394235,Сахалинская область,Сахалинская,65
2095259,Тверская область,Тверская,69
2099216,Мурманская область,Мурманская,51
3788485,Севастополь,Севастополь,92
3795586,Республика Крым,Республика Крым,91
