focl_name,region,district,subcontr_name,start_build_date,end_build_date
Покров д.,Смоленская,Гагаринский,ИТЦ,06.07.16,30.09.16
Заборье д.,Смоленская,Демидовский,ИТЦ,06.07.16,30.09.16
Дубровка д.,Смоленская,Демидовский,ИТЦ,06.07.16,30.09.16
Лесное с.,Смоленская,Сафоновский,ИТЦ,06.07.16,30.09.16
Каспля-1 с.,Смоленская,Смоленский,ИТЦ,06.07.16,30.09.16
Верховье д.,Смоленская,Смоленский,ИТЦ,06.07.16,30.09.16
Селенки д.,Смоленская,Темкинский,ИТЦ,06.07.16,30.09.16
Знаменка с.,Смоленская,Угранский,ИТЦ,06.07.16,30.09.16
Ольхово д.,Смоленская,Ярцевский,ИТЦ,06.07.16,30.09.16
Ново-Никольское с.,Смоленская,Вяземский,ИТЦ,06.07.16,30.09.16
